#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
39 1.23805e-12 6.48516 7.23712e-14 466.675
39.1 144.664 12.447 177.296 460.713
39.2 134.723 29.749 174.75 443.411
39.3 135.033 56.6975 172.529 416.463
39.4 139.076 90.6545 170.816 382.506
39.5 144.755 128.296 169.811 344.864
39.6 151.249 165.938 169.724 307.222
39.7 158.179 199.895 170.734 273.265
39.8 165.349 226.843 172.918 246.317
39.9 172.647 244.145 176.144 229.015
40 180 250.107 180 223.053
40.1 7.35319 244.145 3.85599 229.015
40.2 14.651 226.843 7.08222 246.317
40.3 21.8212 199.895 9.26602 273.265
40.4 28.7513 165.938 10.2759 307.222
40.5 35.2449 128.296 10.1886 344.864
40.6 40.9237 90.6545 9.18413 382.506
40.7 44.9673 56.6975 7.4708 416.463
40.8 45.2774 29.749 5.24968 443.411
40.9 35.3365 12.447 2.70379 460.713
41 2.33065e-12 6.48516 1.3624e-13 466.675
41.1 144.664 12.447 177.296 460.713
41.2 134.723 29.749 174.75 443.411
41.3 135.033 56.6975 172.529 416.463
41.4 139.076 90.6545 170.816 382.506
41.5 144.755 128.296 169.811 344.864
41.6 151.249 165.938 169.724 307.222
41.7 158.179 199.895 170.734 273.265
41.8 165.349 226.843 172.918 246.317
41.9 172.647 244.145 176.144 229.015
42 4.59749e-14 250.107 2.47908e-14 223.053
42.1 7.35319 244.145 3.85599 229.015
42.2 14.651 226.843 7.08222 246.317
42.3 21.8212 199.895 9.26602 273.265
42.4 28.7513 165.938 10.2759 307.222
42.5 35.2449 128.296 10.1886 344.864
42.6 40.9237 90.6545 9.18413 382.506
42.7 44.9673 56.6975 7.4708 416.463
42.8 45.2774 29.749 5.24968 443.411
42.9 35.3365 12.447 2.70379 460.713
43 1.31087e-12 6.48516 7.66277e-14 466.675
43.1 144.664 12.447 177.296 460.713
43.2 134.723 29.749 174.75 443.411
43.3 135.033 56.6975 172.529 416.463
43.4 139.076 90.6545 170.816 382.506
43.5 144.755 128.296 169.811 344.864
43.6 151.249 165.938 169.724 307.222
43.7 158.179 199.895 170.734 273.265
43.8 165.349 226.843 172.918 246.317
43.9 172.647 244.145 176.144 229.015
44 180 250.107 180 223.053
44.1 7.35319 244.145 3.85599 229.015
44.2 14.651 226.843 7.08222 246.317
44.3 21.8212 199.895 9.26602 273.265
44.4 28.7513 165.938 10.2759 307.222
44.5 35.2449 128.296 10.1886 344.864
44.6 40.9237 90.6545 9.18413 382.506
44.7 44.9673 56.6975 7.4708 416.463
