#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
25.5 145.298 126.492 170.018 344.468
25.6 151.645 163.359 169.945 307.601
25.7 158.458 196.618 170.945 274.342
25.8 165.527 223.012 173.088 247.948
25.9 172.733 239.959 176.24 231.002
26 9.08209e-14 245.798 4.82964e-14 225.162
26.1 7.26667 239.959 3.75974 231.002
26.2 14.4733 223.012 6.91197 247.948
26.3 21.5425 196.618 9.05476 274.342
26.4 28.3546 163.359 10.055 307.601
26.5 34.7023 126.492 9.98183 344.468
26.6 40.1896 89.6241 9.00693 381.336
26.7 43.9656 56.3653 7.33246 414.595
26.8 43.893 29.971 5.15534 440.989
26.9 33.6244 13.0249 2.65608 457.935
27 9.48655e-13 7.1856 5.85564e-14 463.774
27.1 146.376 13.0249 177.344 457.935
27.2 136.107 29.971 174.845 440.989
27.3 136.034 56.3653 172.668 414.595
27.4 139.81 89.6241 170.993 381.336
27.5 145.298 126.492 170.018 344.468
27.6 151.645 163.359 169.945 307.601
27.7 158.458 196.618 170.945 274.342
27.8 165.527 223.012 173.088 247.948
27.9 172.733 239.959 176.24 231.002
28 180 245.798 180 225.162
28.1 7.26667 239.959 3.75974 231.002
28.2 14.4733 223.012 6.91197 247.948
28.3 21.5425 196.618 9.05476 274.342
28.4 28.3546 163.359 10.055 307.601
28.5 34.7023 126.492 9.98183 344.468
28.6 40.1896 89.6241 9.00693 381.336
28.7 43.9656 56.3653 7.33246 414.595
28.8 43.893 29.971 5.15534 440.989
28.9 33.6244 13.0249 2.65608 457.935
29 180 7.1856 180 463.774
29.1 146.376 13.0249 177.344 457.935
29.2 136.107 29.971 174.845 440.989
29.3 136.034 56.3653 172.668 414.595
29.4 139.81 89.6241 170.993 381.336
29.5 145.298 126.492 170.018 344.468
29.6 151.645 163.359 169.945 307.601
29.7 158.458 196.618 170.945 274.342
29.8 165.527 223.012 173.088 247.948
29.9 172.733 239.959 176.24 231.002
30 180 245.798 180 225.162
30.1 7.26667 239.959 3.75974 231.002
30.2 14.4733 223.012 6.91197 247.948
30.3 21.5425 196.618 9.05476 274.342
30.4 28.3546 163.359 10.055 307.601
30.5 34.7023 126.492 9.98183 344.468
30.6 40.1896 89.6241 9.00693 381.336
30.7 43.9656 56.3653 7.33246 414.595
30.8 43.893 29.971 5.15534 440.989
30.9 33.6244 13.0249 2.65608 457.935
31 1.0164e-12 7.1856 6.27382e-14 463.774
