#cross-section 12c12c elastic scattering theta = 90.
#Ecm, dsigma/dOMEGA (mb/sr) 
#Y.Kucuk et.al NPA 764 (2006) 160-180 fig.6
30.93903573901884, 2.013761125110213
30.99455040871935, 2.1339274347213397
31.120114259088552, 2.481286199700799
31.403671282274637, 2.8831603447221585
31.53914852668577, 2.4344270243138646
31.762843511643673, 1.7057926807106767
31.78174731318942, 2.3998813085565103
32.04751252315599, 1.5614939075671561
32.34256009237968, 1.345836865310921
32.46955486173823, 1.5001792882852896
32.81305470862919, 1.550864436754536
32.897071604388024, 1.8447750533248504
33.17438692098093, 2.063677098035928
33.37874659400545, 1.9300383554023703
33.514986376021795, 1.805053734845213
33.65122615803815, 1.688162816328792
33.787465940054496, 1.4765995123661757
33.92370572207084, 1.3580568945450766
34.005306970006984, 1.0602696948952741
34.324308621091326, 1.0213974591231463
34.47958984807418, 1.1116223582602385
34.85496533591101, 1.2536200209248713
34.897966291075484, 1.1041793288903976
35.20333539296819, 1.1060877785063563
35.229509887416135, 0.9905033431056367
35.392373408425584, 0.8892967133362416
35.53487898930885, 0.7933420260444503
35.667828802377784, 0.7392373333389375
35.799855352855964, 0.6535281518483216
36.03510266098071, 0.6516757683270715
